follower_id,following_id
7.42E+17,1350000000
1348668511,757000000
756950222,7.41E+17
7.41E+17,2950000000
2954511282,2610000000
2612335900,361000000
360766524,1.09E+18
1.09E+18,152000000
151895642,8.04E+17
8.04E+17,1.13E+18
1.13E+18,1.01E+18
1.01E+18,1.29E+18
1.29E+18,1.32E+18
1.32E+18,1.02E+18
1.02E+18,895000000
894535490,106000000
105503407,1.14E+18
1.14E+18,8.10E+17
8.10E+17,1.27E+18
1.27E+18,2230000000
2226625076,1.15E+18
1.15E+18,8.07E+17
8.07E+17,600000000
600265387,2150000000
2154705692,1.24E+18
1.24E+18,78400000
78410075,46500000
46537966,7.49E+17
7.49E+17,2210000000
2214263233,1590000000
1594075051,7.06E+17
7.06E+17,1.30E+18
1.30E+18,446000000
445994585,9.72E+17
9.72E+17,1.32E+18
1.32E+18,1.17E+18
1.17E+18,1.29E+18
1.29E+18,2620000000
2617375850,1.25E+18
1.25E+18,1.10E+18
1.10E+18,126000000
125997369,879000000
878649780,269000000
268670411,1.23E+18
1.23E+18,1.25E+18
1.25E+18,9.53E+17
9.53E+17,3430000000
3429510183,3020000000
3022513187,42300000
42322497,1.33E+18
1.33E+18,3240000000
3238432054,1.33E+18
1.33E+18,1340000000
1335781465,96000000
95968302,4840000000
4839588365,8.27E+17
8.27E+17,3040000000
3036525989,1.10E+18
1.10E+18,7.08E+17
7.08E+17,353000000
353074890,1.28E+18
1.28E+18,1910000000
1905109700,1.28E+18
1.28E+18,1.31E+18
1.31E+18,7.52E+17
7.52E+17,7.57E+17
7.57E+17,1.29E+18
1.29E+18,2940000000
2936093083,7.95E+17
7.95E+17,1610000000
1610741209,1.32E+18
1.32E+18,1.31E+18
1.31E+18,9.15E+17
9.15E+17,1.27E+18
1.27E+18,8.27E+17
8.27E+17,1.31E+18
1.31E+18,912000000
912494516,8.22E+17
8.22E+17,715000000
714777104,3100000000
3100561185,1.24E+18
1.24E+18,76400000
76355191,2350000000
2348878033,1.21E+18
1.21E+18,9.54E+17
9.54E+17,9.94E+17
9.94E+17,1.18E+18
1.18E+18,1.26E+18
1.26E+18,1.10E+18
1.10E+18,16600000
16587350,9.53E+17
9.53E+17,3100000000
3099306533,1.14E+18
1.14E+18,2210000000
2213904090,9.52E+17
9.52E+17,4190000000
4193196257,190000000
190338613,270000000
270466114,3310000000
3314414004,7.76E+17
7.76E+17,187000000
186914141,2890000000
2891214350,175000000
174934636,7.61E+17
7.61E+17,1.33E+18
1.33E+18,392000000
392448730,1.10E+18
1.10E+18,1.17E+18
1.17E+18,445000000
444857355,1.30E+18
1.30E+18,108000000
107817903,1.06E+18
1.06E+18,1.33E+18
1.33E+18,1.22E+18
1.22E+18,294000000
293892095,7.98E+17
7.98E+17,1.32E+18
1.32E+18,369000000
369487343,2570000000
2565947280,9.42E+17
9.42E+17,1.02E+18
1.02E+18,8.99E+17
8.99E+17,721000000
720879529,508000000
508029458,1.31E+18
1.31E+18,7.52E+17
7.52E+17,1.04E+18
1.04E+18,34900000
34947691,9.58E+17
9.58E+17,2720000000
2717211910,9.84E+17
9.84E+17,1.23E+18
1.23E+18,3180000000
3180931062,1.33E+18
1.33E+18,313000000
312742230,2170000000
2173963963,3270000000
3268769600,1.11E+18
1.11E+18,1.03E+18
1.03E+18,576000000
576499876,8.14E+17
8.14E+17,9.88E+17
9.88E+17,3050000000
3048858266,1.15E+18
1.15E+18,9.69E+17
9.69E+17,7.68E+17
7.68E+17,1.27E+18
1.27E+18,7.66E+17
7.66E+17,3340000000
3336607498,1900000000
1898246178,1.32E+18
1.32E+18,301000000
300907639,2940000000
2942451837,1.02E+18
1.02E+18,1.19E+18
1.19E+18,400000000
399570276,1.04E+18
1.04E+18,7.85E+17
7.85E+17,38000000
37979634,8.86E+17
8.86E+17,302000000
302041612,89900000
89907746,8.54E+17
8.54E+17,1.07E+18
1.07E+18,3230000000
3232863006,1.24E+18
1.24E+18,3890000000
3885575968,2880000000
2878229774,817000000
816911372,3380000000
3375928887,2270000000
2270917900,2340000000
2342190877,2980000000
2980930011,2740000000
2735298028,1.04E+18
1.04E+18,1.33E+18
1.33E+18,1.32E+18
1.32E+18,3960000000
3956429362,399000000
398604790,21400000
21389283,592000000
591679019,389000000
389000180,1.13E+18
1.13E+18,9.38E+17
9.38E+17,2920000000
2922653105,135000000
134709087,123000000
123140371,1.26E+18
1.26E+18,3780000000
3778254080,1.20E+18
1.20E+18,124000000
124336950,1.18E+18
1.18E+18,130000000
129652477,1.17E+18
1.17E+18,9.89E+17
9.89E+17,1.27E+18
1.27E+18,207000000
206764277,3230000000
3231655058,1.01E+18
1.01E+18,1.12E+18
1.12E+18,2500000000
2495484156,1.05E+18
1.05E+18,2620000000
2617114045,457000000
456907408,1.27E+18
1.27E+18,2170000000
2172023006,1.21E+18
1.21E+18,8.23E+17
8.23E+17,1660000000
1664435582,337000000
337141977,550000000
549589501,1.24E+18
1.24E+18,2500000000
2495224441,1.33E+18
1.33E+18,1.20E+18
1.20E+18,9.92E+17
9.92E+17,46400000
46387407,1.15E+18
1.15E+18,8.17E+17
8.17E+17,119000000
118676618,353000000
353071878,255000000
255232309,222000000
222225350,222000000
221626338,321000000
321024461,1.12E+18
1.12E+18,397000000
396837245,2730000000
2729938969,1.29E+18
1.29E+18,1.12E+18
1.12E+18,1.02E+18
1.02E+18,7.44E+17
7.44E+17,150000000
149925820,35500000
35480857,1.26E+18
1.26E+18,186000000
185995946,9.95E+17
9.95E+17,921000000
920545122,9.07E+17
9.07E+17,3000000000
3000985198,187000000
187458178,155000000
155081043,1.23E+18
1.23E+18,1.10E+18
1.10E+18,9.78E+17
9.78E+17,357000000
356684409,2390000000
2388345264,367000000
367148460,392000000
391980489,3240000000
3240704008,1.19E+18
1.19E+18,1.10E+18
1.10E+18,730000000
729866232,906000000
906307286,584000000
584133867,9.64E+17
9.64E+17,3640000000
3643243882,3180000000
3182868101,1.29E+18
1.29E+18,1.31E+18
1.31E+18,2320000000
2323116398,1.29E+18
1.29E+18,7.18E+17
7.18E+17,3150000000
3146436817,1.19E+18
1.19E+18,8.35E+17
8.35E+17,592000000
592063796,9.11E+17
9.11E+17,1.04E+18
1.04E+18,1.10E+18
1.10E+18,2720000000
2719113615,1680000000
1679910595,61700000
61733948,2390000000
2385709534,1.19E+18
1.19E+18,20100000
20125438,1340000000
1335152436,1.19E+18
1.19E+18,1.22E+18
1.22E+18,1.22E+18
1.22E+18,7.18E+17
7.18E+17,261000000
260716166,537000000
537258717,1.29E+18
1.29E+18,1.31E+18
1.31E+18,23400000
23363470,1170000000
1165655202,495000000
494986583,1.30E+18
1.30E+18,8.50E+17
8.50E+17,8.48E+17
8.48E+17,1.14E+18
1.14E+18,2840000000
2835157737,1.32E+18
1.32E+18,1.12E+18
1.12E+18,2430000000
2429482727,7.78E+17
7.78E+17,56900000
56874600,1.29E+18
1.29E+18,47900000
47920846,8.03E+17
8.03E+17,183000000
182707532,9.40E+17
9.40E+17,372000000
372220402,1.29E+18
1.29E+18,1.31E+18
1.31E+18,13100000
13075282,34900000
34948888,1.21E+18
1.21E+18,1.07E+18
1.07E+18,1.22E+18
1.22E+18,1.15E+18
1.15E+18,1.30E+18
1.30E+18,1150000000
1151504646,1.28E+18
1.28E+18,4830000000
4830331266,2220000000
2218959174,94300000
94307636,2430000000
2428826472,3230000000
3230860169,273000000
273049961,7.71E+17
7.71E+17,8.56E+17
8.56E+17,267000000
266739563,1.33E+18
1.33E+18,383000000
382739566,1.33E+18
1.33E+18,7.65E+17
7.65E+17,1.09E+18
1.09E+18,180000000
180498723,7.48E+17
7.48E+17,2250000000
2253382320,198000000
197747310,3770000000
3771643817,93000000
92955741,8.94E+17
8.94E+17,1.04E+18
1.04E+18,1.33E+18
1.33E+18,1.30E+18
1.30E+18,317000000
316981020,1.26E+18
1.26E+18,1.27E+18
1.27E+18,1.27E+18
1.27E+18,7.87E+17
7.87E+17,1.21E+18
1.21E+18,164000000
163928198,9.94E+17
9.94E+17,9.23E+17
9.23E+17,1.25E+18
1.25E+18,1850000000
1850233554,1.08E+18
1.08E+18,1.07E+18
1.07E+18,9.42E+17
9.42E+17,218000000
217778728,2580000000
2575162909,7.91E+17
7.91E+17,1.06E+18
1.06E+18,1.30E+18
1.30E+18,750000000
750167402,1.13E+18
1.13E+18,1.33E+18
1.33E+18,7.18E+17
7.18E+17,1.22E+18
1.22E+18,513000000
512795887,1.19E+18
1.19E+18,1.33E+18
1.33E+18,1.31E+18
1.31E+18,759000000
759235040,1.01E+18
1.01E+18,2770000000
2772719962,1.26E+18
1.26E+18,3000000000
3004637409,3160000000
3158974341,8.28E+17
8.28E+17,148000000
148356086,336000000
336373382,434000000
434276158,62800000
62798089,9.44E+17
9.44E+17,1.14E+18
1.14E+18,561000000
561064227,7.82E+17
7.82E+17,1.29E+18
1.29E+18,1.33E+18
1.33E+18,1600000000
1604301788,1.32E+18
1.32E+18,2410000000
2412978855,43600000
43571041,1.13E+18
1.13E+18,1390000000
1392878804,368000000
367941118,1.32E+18
1.32E+18,1.28E+18
1.28E+18,2590000000
2593752634,1720000000
1719528584,303000000
302530437,7.15E+17
7.15E+17,1.33E+18
1.33E+18,91300000
91308604,1.28E+18
1.28E+18,2160000000
2155227048,2250000000
2248577551,9.86E+17
9.86E+17,1.12E+18
1.12E+18,8.72E+17
8.72E+17,3650000000
3650751201,1.15E+18
1.15E+18,1.28E+18
1.28E+18,1690000000
1687493346,3310000000
3305015360,1.15E+18
1.15E+18,9.88E+17
9.88E+17,1.09E+18
1.09E+18,1.26E+18
1.26E+18,3070000000
3073763955,1.16E+18
1.16E+18,43500000
43478468,7.77E+17
7.77E+17,3700000000
3700082123,1.33E+18
1.33E+18,1.18E+18
1.18E+18,1.13E+18
1.13E+18,7.16E+17
7.16E+17,129000000
128823884,4190000000
4188479488,1.05E+18
1.05E+18,7.72E+17
7.72E+17,1.30E+18
1.30E+18,554000000
553822787,9.31E+17
9.31E+17,7.00E+17
7.00E+17,1.29E+18
1.29E+18,2810000000
2805914559,1.05E+18
1.05E+18,1.24E+18
1.24E+18,376000000
376294779,45500000
45521162,59100000
59083400,125000000
124615309,976000000
976325558,205000000
204947005,29400000
29440560,17600000
17601326,446000000
445932480,1290000000
1286791249,8.28E+17
8.28E+17,3320000000
3319435535,9.91E+17
9.91E+17,293000000
293483638,129000000
128916643,1.12E+18
1.12E+18,1.13E+18
1.13E+18,4850000000
4846663961,555000000
555451987,14300000
14279399,1470000000
1474919748,1.28E+18
1.28E+18,580000000
580353731,3250000000
3252228648,3580000000
3579012436,9.91E+17
9.91E+17,3630000000
3633207556,8.17E+17
8.17E+17,1.19E+18
1.19E+18,1.20E+18
1.20E+18,9.49E+17
9.49E+17,584000000
584125963,1.12E+18
1.12E+18,1940000000
1942047332,1.30E+18
1.30E+18,1.11E+18
1.11E+18,8.94E+17
8.94E+17,165000000
165207263,275000000
274987996,7.25E+17
7.25E+17,103000000
103287164,9.92E+17
9.92E+17,700000
699723,3270000000
3269510738,150000000
149807641,2270000000
2274316903,958000000
957866418,382000000
381521881,3320000000
3318501718,50600000
50582197,93700000
93694409,9.81E+17
9.81E+17,1.24E+18
1.24E+18,1.23E+18
1.23E+18,3240000000
3236790704,9.78E+17
9.78E+17,2800000000
2795633347,1.13E+18
1.13E+18,1.33E+18
1.33E+18,4860000000
4863031389,1640000000
1640910954,48000000
48009845,2750000000
2751206161,8.96E+17
8.96E+17,52500000
52527048,1540000000
1535123317,82600000
82648751,1.24E+18
1.24E+18,7.93E+17
7.93E+17,71000000
70972805,414000000
414098866,1.21E+18
1.21E+18,403000000
402788100,4620000000
4624682543,9.33E+17
9.33E+17,715000000
714875010,1120000000
1119424476,3260000000
3258416830,84200000
84176739,119000000
118747925,833000000
833487462,2940000000
2938623477,1.27E+18
1.27E+18,1400000000
1395116581,559000000
558807693,2480000000
2482374144,554000000
553951646,402000000
402055964,1.28E+18
1.28E+18,390000000
390185665,957000000
956895878,1.19E+18
1.19E+18,1660000000
1658056933,1.32E+18
1.32E+18,1.26E+18
1.26E+18,795000000
794767506,1.04E+18
1.04E+18,1.32E+18
1.32E+18,4880000000
4881616991,2780000000
2776959788,9.58E+17
9.58E+17,1.21E+18
1.21E+18,1.31E+18
1.31E+18,1.30E+18
1.30E+18,9.30E+17
9.30E+17,252000000
252410657,1.27E+18
1.27E+18,9.56E+17
9.56E+17,8.85E+17
8.85E+17,3330000000
3329409983,208000000
208236949,1.25E+18
1.25E+18,1.28E+18
1.28E+18,1910000000
1912808839,1.33E+18
1.33E+18,1.28E+18
1.28E+18,1.33E+18
1.33E+18,9.86E+17
9.86E+17,1.27E+18
1.27E+18,819000000
819398390,4210000000
4209411466,1.18E+18
1.18E+18,423000000
422688189,1.15E+18
1.15E+18,950000000
949630627,581000000
581023919,3340000000
3344691073,9.46E+17
9.46E+17,1.01E+18
1.01E+18,4380000000
4380296176,54100000
54137507,3040000000
3042242050,1.19E+18
1.19E+18,3050000000
3049201457,2730000000
2725441350,1.22E+18
1.22E+18,542000000
541630793,1.32E+18
1.32E+18,1.15E+18
1.15E+18,9.39E+17
9.39E+17,1.28E+18
1.28E+18,2460000000
2461775767,614000000
613799457,8.71E+17
8.71E+17,1.12E+18
1.12E+18,7.72E+17
7.72E+17,52900000
52858939,7.08E+17
7.08E+17,9.59E+17
9.59E+17,1440000000
1437468288,1.17E+18
1.17E+18,1.30E+18
1.30E+18,1390000000
1392735704,8.73E+17
8.73E+17,1.14E+18
1.14E+18,4850000000
4852290238,7.33E+17
7.33E+17,2340000000
2342950560,2880000000
2876636494,2210000000
2209046617,9.48E+17
9.48E+17,236000000
235773861,619000000
4776897375,4810000000
416553926,1.14E+18
2732851509,287000000
47343068,1670000000
4811317993,9.19E+17
1.14E+18,494000000
286584440,7.67E+17
1671815870,1.31E+18
9.19E+17,399000000
493833718,4220000000
7.67E+17,53100000
1.31E+18,1.30E+18
398779496,3370000000
4220780714,93100000
53072539,1.31E+18
1.30E+18,1.01E+18
3370480179,1.28E+18
93097380,8.96E+17
1.31E+18,1.07E+18
1.01E+18,2380000000
1.28E+18,1.04E+18
8.96E+17,284000000
1.07E+18,771000000
2377336333,149000000
1.04E+18,1.29E+18
284131720,49700000
771332107,115000000
148562096,721000000
1.29E+18,1290000000
49670748,2230000000
115334075,1.21E+18
721194602,1.06E+18
1289447864,1160000000
2233489905,1.32E+18
1.21E+18,1.33E+18
1.06E+18,8.06E+17
1158333518,285000000
1.32E+18,3040000000
1.33E+18,466000000
8.06E+17,132000000
285231596,2360000000
3039073797,233000000
465521679,1.19E+18
131801580,7.27E+17
2355120648,2870000000
233327613,7.16E+17
1.19E+18,1.33E+18
7.27E+17,3090000000
2871991354,1.27E+18
7.16E+17,3070000000
1.33E+18,7.31E+17
3091804103,3340000000
1.27E+18,7.56E+17
3070115817,1.17E+18
7.31E+17,1.13E+18
3343371099,1.17E+18
7.56E+17,251000000
1.17E+18,3080000000
1.13E+18,4130000000
1.17E+18,1.07E+18
250665788,1.27E+18
3082252956,3060000000
4127584752,8.95E+17
1.07E+18,1.32E+18
1.27E+18,633000000
3064266184,1.31E+18
8.95E+17,1.29E+18
1.32E+18,1.07E+18
633135943,1.33E+18
1.31E+18,372000000
1.29E+18,1.26E+18
1.07E+18,1630000000
1.33E+18,65400000
372089768,9.24E+17
1.26E+18,1.33E+18
1626305028,1.25E+18
65354408,1.00E+18
9.24E+17,179000000
1.33E+18,536000000
1.25E+18,1.10E+18
1.00E+18,1.11E+18
178744133,8.78E+17
535745009,7.06E+17
1.10E+18,1.03E+18
1.11E+18,1.05E+18
8.78E+17,1.19E+18
7.06E+17,1.27E+18
1.03E+18,9.88E+17
1.05E+18,3820000000
1.19E+18,1.06E+18
1.27E+18,150000000
9.88E+17,9.08E+17
3822110657,7.67E+17
1.06E+18,2580000000
149511843,8.76E+17
9.08E+17,1.31E+18
7.67E+17,330000000
2576191494,9.08E+17
8.76E+17,3110000000
1.31E+18,291000000
330477755,1.04E+18
9.08E+17,1.09E+18
3105556963,1.13E+18
290839656,9.20E+17
1.04E+18,4870000000
1.09E+18,1.25E+18
1.13E+18,1.16E+18
9.20E+17,37500000
4867287309,3030000000
1.25E+18,9.77E+17
1.16E+18,529000000
37488595,1.30E+18
3031151546,2270000000
9.77E+17,1.23E+18
528766381,8.58E+17
1.30E+18,3840000000
2274275063,9.90E+17
1.23E+18,1.15E+18
8.58E+17,518000000
3837382332,7.78E+17
9.90E+17,165000000
1.15E+18,8.95E+17
518357214,198000000
7.78E+17,1.31E+18
164519895,24100000
8.95E+17,1.11E+18
197640962,1.17E+18
1.31E+18,1.29E+18
24093249,2250000000
1.11E+18,4870000000
1.17E+18,1.23E+18
1.29E+18,1.28E+18
2246236177,1930000000
4873629827,2850000000
1.23E+18,7.25E+17
1.28E+18,1070000000
1933729152,8.77E+17
2846405197,1020000000
7.25E+17,3280000000
1068201848,1.06E+18
8.77E+17,9.55E+17
1018389632,1.18E+18
3279858643,2580000000
1.06E+18,1.30E+18
9.55E+17,333000000
1.18E+18,9.04E+17
2577200227,1.06E+18
1.30E+18,3020000000
333203167,1.27E+18
9.04E+17,1.13E+18
1.06E+18,1.19E+18
3022274645,1360000000
1.27E+18,1.19E+18
1.13E+18,1.33E+18
1.19E+18,1.17E+18
1364235170,106000000
1.19E+18,1.13E+18
1.33E+18,1.13E+18
1.17E+18,2180000000
106281307,2960000000
1.13E+18,939000000
1.13E+18,978000000
2182158463,1170000000
2958999760,243000000
939224947,3330000000
977652854,1030000000
1171455030,855000000
243227856,3770000000
3334847908,153000000
1025660382,8.87E+17
854985548,1.27E+18
3774723269,3300000000
152766889,1.21E+18
8.87E+17,1.20E+18
1.27E+18,1.19E+18
3298724978,1.18E+18
1.21E+18,32700000
1.20E+18,1.23E+18
1.19E+18,1.32E+18
1.18E+18,1.08E+18
32670485,764000000
1.23E+18,1.33E+18
1.32E+18,1.18E+18
1.08E+18,267000000
763801604,242000000
1.33E+18,8.66E+17
1.18E+18,1.20E+18
267270138,1.00E+18
241694831,2530000000
8.66E+17,1.31E+18
1.20E+18,9.43E+17
1.00E+18,3600000000
2533993603,1.33E+18
1.31E+18,1540000000
9.43E+17,159000000
3604621457,1000000000
1.33E+18,1.30E+18
1535046146,4830000000
158930282,1.32E+18
999700310,95400000
1.30E+18,1.33E+18
4826793224,1.03E+18
1.32E+18,2980000000
95351170,9.09E+17
1.33E+18,230000000
1.03E+18,236000000
2983201993,7.59E+17
9.09E+17,1.33E+18
229664970,1.31E+18
235776743,856000000
7.59E+17,1660000000
1.33E+18,1.18E+18
1.31E+18,9.01E+17
856183543,81700000
1659410040,18200000
1.18E+18,1.13E+18
9.01E+17,1.33E+18
81668187,1.20E+18
18158087,3160000000
1.13E+18,1640000000
1.33E+18,2840000000
1.20E+18,4280000000
3163236750,2460000000
1635128754,128000000
2842507885,258000000
4277935954,1.22E+18
2455781876,3280000000
128489901,3120000000
258238151,1.33E+18
1.22E+18,9.35E+17
3279405948,1.32E+18
3123699243,1.28E+18
1.33E+18,1.03E+18
9.35E+17,1.00E+18
1.32E+18,1680000000
1.28E+18,1.15E+18
1.03E+18,8.31E+17
1.00E+18,7.81E+17
1682496764,1.32E+18
1.15E+18,2580000000
8.31E+17,1450000000
7.81E+17,9.76E+17
1.32E+18,4890000000
2584392282,1.33E+18
1448899764,1500000000
9.76E+17,96700000
4886787783,7.32E+17
1.33E+18,1010000000
1495502924,110000000
96716061,200000000
7.32E+17,1.01E+18
1009147154,27400000
110201200,1570000000
200174809,8.95E+17
1.01E+18,336000000
27409670,147000000
1573692625,56000000
8.95E+17,18200000
335865345,1.06E+18
146962486,1.05E+18
56008081,2740000000
18167592,2180000000
1.06E+18,7.65E+17
1.05E+18,27200000
2740851099,1.07E+18
2177551723,9.73E+17
7.65E+17,2600000000
27190419,4860000000
1.07E+18,235000000
9.73E+17,1.05E+18
2600630148,9.48E+17
4861623748,111000000
234519861,434000000
1.05E+18,1.31E+18
9.48E+17,74300000
111258200,2200000000
433697321,7.76E+17
1.31E+18,1.12E+18
74325773,1.33E+18
2202328507,2870000000
7.76E+17,597000000
1.12E+18,1.28E+18
1.33E+18,19500000
2867007262,1.01E+18
597434345,1100000000
1.28E+18,4810000000
19473526,2780000000
1.01E+18,1.23E+18
1103964883,3330000000
4811925033,9.95E+17
2780993173,7.42E+17
1.23E+18,1350000000
3333180814,757000000
9.95E+17,7.41E+17
7.42E+17,2950000000
1348668511,2610000000
756950222,361000000
7.41E+17,1.09E+18
2954511282,152000000
2612335900,8.04E+17
360766524,1.13E+18
1.09E+18,1.01E+18
151895642,1.29E+18
8.04E+17,1.32E+18
1.13E+18,1.02E+18
1.01E+18,895000000
1.29E+18,106000000
1.32E+18,1.14E+18
